epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1602,1.83855,3.871,1.21148,0.59141,0.27712,0.27764,0.19981,1.43381,2.19358,1.07106,0.000135342,0.000135342,0.000135342
2,158.626,1.45174,2.11188,1.00301,0.82595,0.44678,0.54425,0.41058,1.1138,1.85716,0.94104,0.000269815,0.000269815,0.000269815
3,235.386,1.24406,1.60519,0.92559,0.77147,0.5887,0.69137,0.55245,0.93575,1.08257,0.88423,0.000399702,0.000399702,0.000399702
4,311.432,1.12669,1.26604,0.88799,0.82283,0.71593,0.76142,0.61723,0.86901,0.9097,0.86291,0.000396358,0.000396358,0.000396358
5,387.8,1.03387,1.08472,0.87717,0.81564,0.77174,0.81336,0.66915,0.80185,0.83026,0.85366,0.000389478,0.000389478,0.000389478
6,464.468,0.97261,0.98635,0.85958,0.81233,0.8245,0.85034,0.71518,0.73305,0.75151,0.84354,0.000382597,0.000382597,0.000382597
7,542.586,0.96281,0.93219,0.85001,0.85323,0.87484,0.8994,0.7616,0.69796,0.69066,0.83549,0.000375717,0.000375717,0.000375717
8,623.62,0.90237,0.851,0.84003,0.90383,0.87551,0.91379,0.7805,0.66,0.65598,0.83229,0.000368836,0.000368836,0.000368836
9,704.633,0.84738,0.79222,0.83679,0.90499,0.90177,0.93485,0.79704,0.66009,0.61452,0.82707,0.000361956,0.000361956,0.000361956
10,786.043,0.87297,0.77759,0.83106,0.94205,0.91055,0.9459,0.8176,0.61487,0.58106,0.82212,0.000355076,0.000355076,0.000355076
11,867.651,0.85449,0.75941,0.83363,0.93202,0.92241,0.9533,0.83481,0.59948,0.56148,0.82125,0.000348195,0.000348195,0.000348195
12,949.445,0.81799,0.7277,0.83468,0.93816,0.93068,0.95977,0.83538,0.59031,0.55022,0.8224,0.000341315,0.000341315,0.000341315
13,1029.88,0.79009,0.70069,0.83292,0.96332,0.92748,0.96133,0.83578,0.5826,0.53574,0.81964,0.000334434,0.000334434,0.000334434
14,1111.08,0.79064,0.69545,0.83033,0.95276,0.92526,0.96548,0.8434,0.56553,0.52839,0.81889,0.000327553,0.000327553,0.000327553
15,1191.62,0.77695,0.66639,0.82381,0.97002,0.93309,0.9694,0.84967,0.56553,0.51179,0.81839,0.000320673,0.000320673,0.000320673
16,1273.12,0.7847,0.65412,0.82276,0.95848,0.9464,0.97362,0.8499,0.56708,0.50354,0.81679,0.000313792,0.000313792,0.000313792
17,1354,0.76739,0.63926,0.82553,0.96648,0.95032,0.97571,0.86842,0.55701,0.49175,0.81479,0.000306912,0.000306912,0.000306912
18,1434.96,0.75399,0.63053,0.82258,0.97717,0.94175,0.97339,0.86482,0.52948,0.48061,0.81292,0.000300032,0.000300032,0.000300032
19,1516.18,0.73138,0.62583,0.82356,0.97539,0.95164,0.97902,0.86506,0.53741,0.47654,0.8129,0.000293151,0.000293151,0.000293151
20,1597.24,0.73371,0.61979,0.82436,0.97516,0.95459,0.97997,0.86675,0.54306,0.47089,0.81397,0.00028627,0.00028627,0.00028627
21,1677.96,0.73618,0.61508,0.81967,0.97994,0.9546,0.97981,0.87302,0.51176,0.45953,0.81221,0.00027939,0.00027939,0.00027939
22,1770.8,0.71311,0.595,0.8174,0.97028,0.95142,0.97901,0.87396,0.51451,0.45597,0.81111,0.000272509,0.000272509,0.000272509
23,1855.21,0.71748,0.60024,0.81906,0.98788,0.95591,0.98409,0.87824,0.50722,0.44964,0.80997,0.000265629,0.000265629,0.000265629
24,1946.66,0.7166,0.59816,0.82092,0.97684,0.9623,0.98226,0.87863,0.53247,0.45498,0.81096,0.000258749,0.000258749,0.000258749
25,2032.63,0.70403,0.58707,0.81563,0.98106,0.96151,0.98259,0.87913,0.50297,0.44368,0.81004,0.000251868,0.000251868,0.000251868
26,2121.68,0.69224,0.57227,0.81339,0.9779,0.95938,0.98333,0.87495,0.49542,0.44314,0.80921,0.000244987,0.000244987,0.000244987
27,2207.45,0.6565,0.54728,0.81451,0.97484,0.95926,0.98254,0.87541,0.5208,0.44325,0.81173,0.000238107,0.000238107,0.000238107
28,2293.1,0.68186,0.56527,0.81385,0.98333,0.96552,0.98612,0.88646,0.50391,0.43102,0.80831,0.000231226,0.000231226,0.000231226
29,2377.65,0.6679,0.55423,0.81164,0.97639,0.9721,0.98568,0.89064,0.47774,0.42512,0.80782,0.000224346,0.000224346,0.000224346
30,2461.85,0.69669,0.56021,0.80811,0.98194,0.96634,0.9862,0.887,0.49182,0.42043,0.80816,0.000217465,0.000217465,0.000217465
31,2562.02,0.64423,0.53634,0.8156,0.97695,0.96996,0.98772,0.88659,0.49408,0.41942,0.80941,0.000210585,0.000210585,0.000210585
32,2650.76,0.6511,0.53663,0.80851,0.98825,0.96288,0.98673,0.89127,0.47327,0.41394,0.80742,0.000203704,0.000203704,0.000203704
33,2749.19,0.66085,0.54127,0.81176,0.98547,0.96705,0.98767,0.8906,0.47955,0.41426,0.8086,0.000196824,0.000196824,0.000196824
34,2846.69,0.65753,0.53445,0.80947,0.97905,0.9772,0.98817,0.89416,0.47471,0.4076,0.80654,0.000189943,0.000189943,0.000189943
35,2944.39,0.65853,0.53387,0.81213,0.98247,0.97746,0.9882,0.89319,0.47324,0.40751,0.80652,0.000183063,0.000183063,0.000183063
36,3041.14,0.65704,0.53211,0.80944,0.98178,0.97202,0.98858,0.90059,0.4515,0.39644,0.80514,0.000176182,0.000176182,0.000176182
37,3138.71,0.64137,0.52518,0.80752,0.98939,0.97692,0.98909,0.89726,0.47246,0.40108,0.80538,0.000169302,0.000169302,0.000169302
38,3236.12,0.63734,0.5175,0.80757,0.98236,0.97769,0.98905,0.89578,0.47002,0.40034,0.80585,0.000162421,0.000162421,0.000162421
39,3333.45,0.63335,0.51431,0.80409,0.98848,0.97582,0.98902,0.90576,0.44399,0.39161,0.80468,0.000155541,0.000155541,0.000155541
40,3431.19,0.63981,0.51744,0.80452,0.98659,0.9773,0.98882,0.90435,0.44671,0.38777,0.804,0.00014866,0.00014866,0.00014866
41,3528.72,0.6372,0.51865,0.80706,0.98269,0.97469,0.98839,0.90283,0.45466,0.38879,0.80462,0.00014178,0.00014178,0.00014178
42,3626.8,0.61956,0.50205,0.80596,0.98454,0.97713,0.98908,0.89704,0.46522,0.38696,0.80571,0.000134899,0.000134899,0.000134899
43,3724.67,0.62939,0.50864,0.80871,0.97962,0.97483,0.98891,0.90332,0.4444,0.38479,0.80384,0.000128019,0.000128019,0.000128019
44,3822.59,0.63013,0.49977,0.80788,0.9824,0.97861,0.98907,0.90399,0.45029,0.38371,0.80409,0.000121138,0.000121138,0.000121138
45,3919.15,0.6168,0.49472,0.80437,0.98684,0.97734,0.98973,0.90666,0.44003,0.37971,0.80293,0.000114258,0.000114258,0.000114258
46,4016.41,0.61889,0.50063,0.80649,0.9827,0.97552,0.98913,0.90513,0.43981,0.37957,0.80234,0.000107378,0.000107378,0.000107378
47,4113.91,0.61236,0.49533,0.80669,0.98773,0.97549,0.98899,0.90685,0.44087,0.37726,0.80164,0.000100497,0.000100497,0.000100497
48,4211.45,0.61401,0.49693,0.80627,0.98484,0.97446,0.98878,0.90613,0.43614,0.3767,0.80232,9.36165e-05,9.36165e-05,9.36165e-05
49,4308.9,0.59589,0.48868,0.80689,0.98363,0.97571,0.98854,0.9062,0.44493,0.37733,0.80233,8.6736e-05,8.6736e-05,8.6736e-05
50,4406.17,0.61909,0.49516,0.8066,0.98728,0.97654,0.9887,0.91048,0.43005,0.37446,0.80177,7.98555e-05,7.98555e-05,7.98555e-05
51,4500.95,0.60502,0.49273,0.80158,0.98763,0.96966,0.98862,0.89843,0.4629,0.39072,0.80454,7.2975e-05,7.2975e-05,7.2975e-05
52,4594.39,0.5616,0.45916,0.80359,0.98317,0.97354,0.98898,0.89722,0.46605,0.39538,0.80447,6.60945e-05,6.60945e-05,6.60945e-05
53,4688.64,0.55116,0.44368,0.80027,0.98609,0.97337,0.98812,0.89783,0.46364,0.38982,0.80374,5.9214e-05,5.9214e-05,5.9214e-05
54,4782.71,0.53742,0.44202,0.79553,0.98073,0.9755,0.98929,0.90024,0.45903,0.38681,0.80336,5.23335e-05,5.23335e-05,5.23335e-05
55,4876.19,0.55554,0.44537,0.79478,0.98388,0.97725,0.98876,0.90135,0.45141,0.38274,0.80255,4.5453e-05,4.5453e-05,4.5453e-05
56,4971.28,0.553,0.44506,0.79649,0.98409,0.97681,0.98919,0.89782,0.46188,0.38466,0.80279,3.85725e-05,3.85725e-05,3.85725e-05
57,5065.32,0.52189,0.42691,0.79402,0.98308,0.97724,0.9892,0.90245,0.45104,0.37986,0.80276,3.1692e-05,3.1692e-05,3.1692e-05
58,5159.17,0.53124,0.43057,0.79602,0.98626,0.97426,0.98919,0.90429,0.44596,0.37678,0.80302,2.48115e-05,2.48115e-05,2.48115e-05
59,5254.69,0.53845,0.43629,0.7963,0.98621,0.97504,0.98931,0.90408,0.44561,0.37598,0.8028,1.7931e-05,1.7931e-05,1.7931e-05
60,5349.17,0.52993,0.42752,0.79225,0.98502,0.97667,0.98961,0.90561,0.44136,0.37482,0.80213,1.10505e-05,1.10505e-05,1.10505e-05
